group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
658,3,2,1,214.5,215,,,0.183673469,0.183673469,0.154704537,0.146056175,-0.111121619,0.070074489,0.129529238,0.20446647,0.999999983,0.291189557
658,3,8,2,52.75,60,,,0.057142857,0.171428571,0.097465189,0.110181695,-0.19997645,0.033795107,0.093535416,0.161993794,0.481742945,0.235861575
660,4,2,1,197.5,150,,,0,0.233333333,0.129502035,0.090532298,-0.078183427,0.064344657,0.113469388,0.174571095,0.439244667,0.264455024
660,4,7,2,360,220,,,0.142857143,0.047619048,0.10888126,0.116371206,-0.075326563,0.03372561,0.082468412,0.153259371,0.513316105,0.243184153
660,4,1,3,75,128,,,0.183673469,0.06122449,0.118664825,0.115143993,-0.208907899,0.050114005,0.101061496,0.168879684,1.000000031,0.247315623
662,4,5,4,22.75,36,,,0.181818182,0,0.117724455,0.133229229,-0.179449731,0.042763023,0.111403145,0.17278029,0.999999985,0.243243379
663,3,4,1,3000.75,11000,,,0.15625,0.21875,0.085265315,0.099637076,-0.179449731,0.021463503,0.074086573,0.143832791,1.000000004,
663,3,6,2,24,5,,,0.115384615,0.153846154,0.142456009,0.122058411,-0.179449731,0.075447663,0.129190691,0.196715285,1.000000008,0.252568422
663,3,2,4,272,300,,,0.052631579,0.157894737,0.148065995,0.12287743,-0.048147845,0.070457936,0.113681251,0.207828837,0.999999983,0.28971642
664,4,2,1,145.5,200,,,0.074074074,0.222222222,0.146976925,0.124214533,-0.05292413,0.070443647,0.116857288,0.200177583,0.999999983,0.287146521
664,4,4,2,35000,15000,,,0.130434783,0.130434783,0.10724324,0.109565387,-0.131910023,0.033563401,0.097024145,0.178709449,1.000000004,
664,4,7,4,139,240,,,0.125,0.075,0.120580537,0.14719822,-0.179449731,0.030048989,0.092158707,0.160519455,0.999999976,0.29888844
665,3,1,1,82,93,,,0.063829787,0.063829787,0.097720386,0.08225818,-0.091786393,0.044066764,0.087148789,0.138066693,0.534496262,0.195636868
665,3,2,4,459,200,,,0.09375,0.125,0.15267378,0.145423009,-0.053806628,0.067006784,0.121351942,0.2022254,0.999999983,0.29870394
667,4,4,1,213333.3333,8000,,,0.217391304,0,0.121408084,0.143301028,-0.091358156,0.043589633,0.095222583,0.166293857,1.000000101,
667,4,5,3,5.333333333,3,,,0.166666667,0.111111111,0.127347229,0.126852656,-0.162073676,0.049609582,0.111359183,0.175745008,0.999999985,0.270722957
667,4,6,4,17.25,4,,,0.216216216,0.027027027,0.145677644,0.133110442,-0.179449731,0.071993769,0.13537084,0.191252859,1.000000008,0.276674612
668,3,4,1,26000,9000,,,0.176470588,0.117647059,0.11196079,0.106592802,-0.179449731,0.039691564,0.10670619,0.181650212,0.788536819,
668,3,7,3,160,230,,,0.117647059,0.411764706,0.12803386,0.127195084,-0.179449731,0.053803667,0.10670619,0.167539346,0.81865854,0.284688108
668,3,5,4,30,30,,,0,0.272727273,0.113394731,0.146668781,-0.17039178,0.037354655,0.102705475,0.160124913,0.999999985,0.217550715
669,4,6,3,10,11,,,0.235294118,0.294117647,0.15287404,0.155899113,-0.179449731,0.079458005,0.132231475,0.187058533,1.000000008,0.266291627
670,3,5,1,7.5,8,,,0.09375,0.1875,0.110977793,0.109758115,-0.178769969,0.044382564,0.110400688,0.172104101,0.99999997,0.237289334
670,3,2,2,189.5,200,,,0,0.222222222,0.104154647,0.085962155,-0.066653087,0.052792793,0.089615012,0.135170854,0.439244667,0.204134038
670,3,7,3,189,200,,,0.238095238,0.285714286,0.113125266,0.120150045,-0.113556039,0.039121515,0.093726163,0.15612155,0.511089381,0.282908951
670,3,8,4,71.75,130,,,0.222222222,0.111111111,0.128150784,0.148154285,-0.227305306,0.048352862,0.113426134,0.183537592,1.000000124,0.298231333
671,4,3,2,424.5,375,,,0.185185185,0.074074074,0.118060225,0.119878135,-0.078786699,0.051276605,0.097360717,0.152581104,1.000000139,0.223387381
671,4,8,3,36.25,55,,,0.214285714,0.214285714,0.148454307,0.179434394,-0.264017766,0.027242816,0.116340645,0.224814252,1.000000124,0.373200895
671,4,6,4,29.5,8,,,0.392857143,0.142857143,0.164708743,0.138406531,-0.179449731,0.084782721,0.1485553,0.218527006,1.000000038,0.305239933
672,3,7,1,114.75,150,,,0.105263158,0.210526316,0.107677045,0.110602791,-0.070623145,0.03304298,0.090505756,0.153146118,0.550097511,0.2636129
672,3,8,2,34.25,47,,,0.16,0.16,0.138885361,0.169270814,-0.194561451,0.042353422,0.113251486,0.206390358,1.000000124,0.333323754
672,3,1,3,129.75,125,,,0.24,0.2,0.127383796,0.147033366,-0.079856833,0.044196245,0.101228829,0.171284513,1.000000031,0.260562892
672,3,2,4,214.25,130,,,0.12,0.36,0.159652497,0.139012139,-0.053138575,0.070417012,0.123823554,0.202890177,0.999999983,0.316967986
673,4,7,3,162,360,,,0.266666667,0.083333333,0.127150478,0.139849353,-0.203385763,0.045526178,0.101755124,0.169715922,0.999999976,0.305546171
673,4,4,4,6304.25,9000,,,0.211538462,0.057692308,0.113247146,0.126755709,-0.179449731,0.040847217,0.099121324,0.177029202,1.000000004,
