group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
342,1,1,3,72,100,4.636363636,4,0.137931034,0.206896552,0.101293159,0.11620117,-0.122079694,0.04111364,0.087013073,0.144726959,1.000000031,0.200579082
342,1,7,4,157.6666667,240,8.636363636,1,0.3,0,0.126206662,0.150950058,-0.085236066,0.040313049,0.093330111,0.166068756,1.000000007,0.304735719
343,1,2,1,150,290,0,6.272727273,0,0.095238095,0.129540442,0.103319444,-0.129726877,0.063000156,0.121439723,0.181899101,0.439244667,0.277057309
343,1,5,2,5.25,4,0,8.818181818,0,0.5,0.117067687,0.111957114,-0.136166857,0.061310106,0.116818494,0.16822389,0.753272066,0.232904111
343,1,3,4,400,500,1.272727273,7.727272727,0.105263158,0.105263158,0.115341886,0.119327655,-0.045183797,0.036848482,0.074269851,0.159083393,0.546998243,0.223387381
344,1,2,1,114.75,200,2.909090909,6.181818182,0.097560976,0.243902439,0.140797329,0.143329467,-0.074737308,0.058759198,0.10217024,0.187952825,0.999999983,0.286785666
344,1,4,3,27564,12000,6.909090909,1.363636364,0.1875,0.0625,0.115551177,0.125707198,-0.20374694,0.036845349,0.099646204,0.181586679,1.000000004,
344,1,5,4,16.25,20,5.363636364,2.181818182,0,0.04,0.121224006,0.14186169,-0.179449731,0.041609863,0.11472793,0.170225984,1.000000053,0.255297427
348,1,4,1,9375,12000,8.545454545,1.727272727,0.161290323,0.032258065,0.112394316,0.122220518,-0.179449731,0.039847933,0.099904671,0.173491173,1.000000004,
348,1,2,2,146,250,1.272727273,8.272727273,0.045454545,0.272727273,0.133856827,0.108378759,-0.053138575,0.067097881,0.10670619,0.190545883,0.580062843,0.274541436
348,1,7,3,204,236,3.727272727,2.818181818,0.25,0.25,0.113515673,0.13070232,-0.153791454,0.027356369,0.086766553,0.164237663,0.511089381,0.29693164
348,1,8,4,43.75,50,3,6.454545455,0.090909091,0.227272727,0.098670806,0.119998727,-0.170961098,0.03413575,0.088969477,0.155400981,0.808645053,0.247651527
349,1,5,2,19,20,5.727272727,1.727272727,0.02173913,0.108695652,0.119527867,0.126427097,-0.184627755,0.044430227,0.108676771,0.169599892,1.000000053,0.249446976
349,1,3,4,388,600,8,2.727272727,0.129032258,0.064516129,0.11351325,0.106011148,-0.115159085,0.048692379,0.096480599,0.153083085,1.000000139,0.216654415
351,1,2,4,215,250,8.1,1.7,0.244444444,0.155555556,0.157536116,0.153658553,-0.087266844,0.07038098,0.123771516,0.20631825,0.999999983,0.310756238
363,1,3,1,912.5,300,7.8,1.6,0.108108108,0.135135135,0.123119976,0.113519261,-0.154644847,0.048219519,0.095011325,0.18085674,0.811430943,0.229869449
363,1,7,2,206.5,200,7.8,1.2,0.111111111,0.083333333,0.114188939,0.127956741,-0.163767053,0.040108996,0.093235605,0.155979537,0.81865854,0.290056295
363,1,8,3,85,85,1.2,9.5,0,0.115384615,0.101356104,0.123591681,-0.175182507,0.040443226,0.08706166,0.156799267,0.999999996,0.232620563
363,1,4,4,8375,7200,9.4,1.1,0.19047619,0.095238095,0.093929372,0.09358732,-0.101696367,0.022059843,0.083105121,0.154376696,0.489682575,
370,1,7,1,161.25,320,9.3,0,0.2,0.15,0.11105394,0.117840365,-0.119610023,0.04215545,0.096133073,0.160486933,1.000000007,0.243150365
370,1,3,2,12500225,600,8.6,2.3,0.208333333,0.208333333,0.118022359,0.110728651,-0.108481673,0.042840014,0.102119049,0.169115303,0.590559607,0.226985838
370,1,6,3,89.33333333,7,7.6,0.5,0.28,0.12,0.153140435,0.130574507,-0.091857098,0.081700725,0.138822631,0.196112483,1.000000008,0.282551392
370,1,8,4,24.66666667,100,6.1,2.9,0.260869565,0.043478261,0.135128817,0.151731671,-0.174186568,0.055832379,0.116021907,0.200968484,0.999999996,0.303989063
372,1,8,1,55.33333333,60,0.1,8.9,0,0.214285714,0.082013741,0.102671004,-0.185337213,0.026146372,0.085540862,0.134676262,0.548847743,0.200382516
372,1,2,2,187.5,150,0.4,7.4,0.071428571,0.285714286,0.13818069,0.137297033,-0.064130737,0.062821584,0.098607638,0.17527344,0.999999983,0.283159746
372,1,4,3,16062.5,6500,5.1,4.6,0.1875,0.1875,0.10032858,0.101572425,-0.146662388,0.030178898,0.094223429,0.158825433,0.788536819,
372,1,5,4,38.75,50,5.1,5,0,0.4375,0.106999946,0.129633138,-0.179449731,0.040046482,0.107892405,0.15105289,0.999999985,0.223522162
378,1,7,2,154.75,150,3.8,7.6,0.105263158,0.210526316,0.114224825,0.128212714,-0.082778572,0.038064148,0.087165978,0.149110649,0.81865854,0.280292012
378,1,2,4,101.25,200,0.2,8,0,0.571428571,0.136084309,0.107361978,-0.05404337,0.070417012,0.10886235,0.18098418,0.655281855,0.274745419
379,1,4,1,6275,10000,7.9,2,0.186046512,0.11627907,0.103106766,0.097640564,-0.205773051,0.035570102,0.091142506,0.174486676,0.788536819,
379,1,5,2,19.5,35,9.1,2.1,0.269230769,0.192307692,0.119223642,0.131092318,-0.199170196,0.049627566,0.11472793,0.178153446,0.99999997,0.240474051
379,1,2,4,147.5,240,9.9,0,0.315789474,0.105263158,0.187864504,0.182401311,-0.078183427,0.078509961,0.151809861,0.232083314,0.999999983,0.38664141
380,1,8,1,38.5,48,1.6,7.9,0.026315789,0.105263158,0.098847883,0.109141228,-0.157563578,0.037523952,0.089998884,0.148241365,0.713685369,0.217788174
380,1,7,2,171.5,236,0.2,4.1,0.055555556,0.277777778,0.11200275,0.108759128,-0.070041667,0.039313437,0.097385592,0.156056727,0.478697228,0.274388791
381,1,1,1,78.5,150,5.8,3.2,0.115384615,0.346153846,0.106674911,0.115221161,-0.091786393,0.042079362,0.08747782,0.141883314,1.000000031,0.212782741
381,1,3,2,1597.5,1000,7.8,1.7,0.184210526,0.131578947,0.109878857,0.120355448,-0.075331771,0.032151198,0.089901842,0.147469846,0.811430943,0.227776206
381,1,8,3,36.75,105,7.7,3.4,0.272727273,0.060606061,0.131831376,0.158619419,-0.170961098,0.034495826,0.111339616,0.200006537,1.000000124,0.31335967
381,1,4,4,20500,15000,8,1.9,0.178571429,0.071428571,0.110299113,0.096540474,-0.179449731,0.040506782,0.101672296,0.176773983,0.497438945,
382,1,1,1,61.75,120,4.5,5.3,0.083333333,0.041666667,0.107685026,0.090388985,-0.0626149,0.054014532,0.086145037,0.145629554,0.534496262,0.22601319
382,1,2,2,279.25,275,5.4,4.2,0.108108108,0.054054054,0.135497893,0.127706844,-0.078183427,0.060032502,0.100593967,0.18736261,0.999999983,0.277667553
382,1,6,3,8,8,5.9,4.9,0.129032258,0.225806452,0.142597875,0.105745737,-0.179449731,0.074835144,0.139227206,0.194534974,0.999999956,0.255184128
382,1,3,4,488,500,5.4,3.6,0.111111111,0.296296296,0.118691458,0.113570469,-0.089729627,0.045089627,0.093883633,0.169979198,0.706459693,0.214551177
389,1,7,1,190,190,8.4,0.7,0.1,0.1,0.108790072,0.117545304,-0.179449731,0.031933566,0.093173063,0.152970348,0.783129481,0.254976995
389,1,8,2,95.5,50,7.6,2.5,0.113636364,0.159090909,0.103211976,0.121336377,-0.208437772,0.028116296,0.09402311,0.155403548,0.808645053,0.260978103
389,1,3,3,317.5,500,7.7,3.1,0.238095238,0.119047619,0.123739296,0.127923859,-0.149956007,0.051084193,0.094944653,0.163174561,1.000000057,0.25100688
389,1,5,4,88.5,32,8.2,2.3,0.193548387,0.129032258,0.109838267,0.121683845,-0.2093911,0.042317608,0.107217837,0.161418847,0.999999954,0.227855308
400,1,5,1,24.25,35,7.9,2.3,0.075,0.1,0.109684201,0.118419307,-0.174198477,0.040637018,0.106385654,0.161985707,1.000000053,0.221080211
400,1,7,3,146.5,200,5.272727273,3.909090909,0.111111111,0.388888889,0.107095619,0.117742857,-0.179449731,0.030178898,0.08565117,0.151916451,0.541827852,0.265750769
400,1,3,4,225000220,500,6.9,2.9,0.238095238,0.19047619,0.120414527,0.118642303,-0.079856833,0.038322385,0.090400884,0.177048022,0.546998243,0.231586845
401,1,3,1,517.3333333,300,7.5,2.1,0.135135135,0.054054054,0.116809129,0.113158997,-0.129425232,0.045039261,0.092890273,0.15836043,0.546998243,0.241042037
401,1,2,2,198,200,0,9.2,0,0.217391304,0.111466903,0.09017944,-0.094531691,0.056099121,0.090944603,0.153158341,0.508111889,0.228077319
401,1,4,3,276000,4500,7.5,1.3,0.268292683,0.048780488,0.110698753,0.128781251,-0.22991661,0.032376835,0.089129824,0.175234487,1.000000004,
401,1,1,4,103.75,72,7.4,2.4,0.134615385,0.057692308,0.105548379,0.102540298,-0.11134166,0.049491307,0.090377207,0.143160173,0.999999947,0.207886383
402,1,5,1,21.5,35,4.8,5.1,0,0.105263158,0.108129913,0.106350398,-0.162073676,0.040993393,0.106238642,0.159534594,0.999999985,0.229934036
402,1,8,2,52.75,100,7.3,1.7,0.162790698,0.139534884,0.10662358,0.125568272,-0.20102325,0.039789786,0.095098,0.162602445,1.000000124,0.247612494
402,1,3,3,217,600,1.6,6.6,0,0.12195122,0.10411001,0.085467169,-0.138268944,0.045960179,0.0912241,0.156791936,0.546998243,0.211619789
402,1,4,4,8502.5,9000,4.8,5.5,0.058823529,0.058823529,0.10211784,0.106002906,-0.124210658,0.031615366,0.086441387,0.164215776,1.000000004,
404,1,4,1,17050,10000,3.4,7.5,0.161290323,0.129032258,0.108376017,0.116361553,-0.179449731,0.031113852,0.098642594,0.180685679,1.000000004,
404,1,8,2,44.25,100,5.5,4.6,0.046511628,0.279069767,0.122427789,0.161456002,-0.226596409,0.04116272,0.100494454,0.176318568,1.000000039,0.280918756
404,1,7,3,192.5,240,8.8,1.5,0.185185185,0.185185185,0.125091964,0.142866388,-0.20374694,0.038800916,0.096740869,0.165965069,0.81865854,0.298855479
404,1,2,4,136.25,150,1,7.5,0,0.227272727,0.132781245,0.119084789,-0.163306612,0.061871508,0.101755124,0.184085988,0.586038031,0.283593292
445,1,7,1,385.5,200,8.7,0.4,0.153846154,0.153846154,0.124329707,0.135663315,-0.135538268,0.039023578,0.091858524,0.174404786,0.999999976,0.298855479
445,1,5,2,9.5,26,0,6.8,0,0.166666667,0.103723057,0.098262584,-0.186659491,0.041090193,0.116768904,0.165040089,0.342860232,0.22023182
445,1,1,3,48.75,55,0,5.5,0.090909091,0.272727273,0.095895592,0.06963006,-0.110041983,0.051189808,0.086881657,0.136637715,0.318926806,0.187397278
445,1,4,4,98.66666667,6000,2,4.4,0.2,0.2,0.123796161,0.14110091,-0.179449731,0.043071178,0.102412287,0.184987929,1.000000004,
448,1,5,1,5.75,10,0,8,0.090909091,0.272727273,0.116779543,0.125721979,-0.179449731,0.049584162,0.110830642,0.165656804,0.999999985,0.231663558
448,1,8,2,40,50,3,5.2,0.153846154,0.153846154,0.121754337,0.161141193,-0.184298284,0.040255428,0.099924416,0.16792234,1.000000124,0.280253562
448,1,6,4,7.25,5,0.4,9.4,0.083333333,0.583333333,0.151267889,0.136613001,-0.06756918,0.084966844,0.12893534,0.194701994,1.000000008,0.276654263
455,1,5,1,20.25,30,7.9,2.1,0.111111111,0.086419753,0.111333331,0.121673894,-0.179449731,0.040192973,0.106826847,0.161126271,0.999999985,0.246614736
455,1,4,2,18000,7000,5.6,4.1,0.18,0,0.101593402,0.10937024,-0.18076364,0.033196121,0.089129824,0.166406984,1.000000004,
455,1,6,3,10,8,8.3,1.5,0.215686275,0.137254902,0.148446763,0.125715081,-0.18076364,0.074141894,0.131305567,0.196409913,1.000000008,0.290972145
455,1,7,4,186.6666667,235,7.3,1.1,0.075757576,0.045454545,0.100325525,0.10458301,-0.18470197,0.0307924,0.084701624,0.151713002,0.81865854,0.225265744
