group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
60,1,5,1,34,45,8.6,1.7,0.045454545,0.318181818,0.118474725,0.110729491,-0.179449731,0.051029426,0.116824081,0.17554361,0.626171857,0.250705059
60,1,7,2,147.5,200,8.7,1.5,0.133333333,0.066666667,0.110641342,0.119399304,-0.179449731,0.033043805,0.086168604,0.162710871,1.000000007,0.24981761
60,1,4,3,19500,10000,9.5,0.3,0.54,0,0.11666737,0.113771532,-0.179449731,0.04186775,0.108708142,0.186463722,1.000000004,
60,1,3,4,3750262.5,500,9.444444444,0.333333333,0.37037037,0.092592593,0.114781686,0.109530647,-0.112582614,0.038475697,0.099151695,0.16186717,0.811430943,0.227285369
69,1,8,1,20.5,7,0,9.3,0,0.466666667,0.0793924,0.089577475,-0.139270636,0.038303311,0.084495506,0.126164513,0.416390909,0.179440161
69,1,5,2,12,10,0.2,9.3,0.117647059,0.470588235,0.098173267,0.093760714,-0.162073676,0.033830036,0.102380984,0.155395733,0.438913385,0.206737116
69,1,2,3,140,210,0.2,8.2,0,0.133333333,0.129647624,0.099539856,-0.058113678,0.066179269,0.108930917,0.178480294,0.580062843,0.264736503
69,1,1,4,70.25,171,0,1.5,0,0.294117647,0.088476561,0.079964819,-0.059280426,0.046177187,0.076990927,0.125407092,0.999999947,0.169408535
70,1,1,1,47,160,9,0.4,0.23255814,0.023255814,0.113851918,0.111710827,-0.079856833,0.045468029,0.096582348,0.159912368,1.000000031,0.227569057
70,1,2,2,155,220,9.6,0.9,0.133333333,0.088888889,0.162242843,0.140237184,-0.114129212,0.067387964,0.143092271,0.221106963,0.999999983,0.313554418
70,1,8,3,44.75,56,8.8,2.3,0.333333333,0,0.135348314,0.156353778,-0.302397434,0.036511934,0.117420816,0.208989353,1.000000124,0.334968259
73,1,7,1,174.75,225,7.6,3,0.153846154,0.038461538,0.125344949,0.147535713,-0.179449731,0.038742337,0.103508274,0.165721204,0.999999976,0.312363274
73,1,5,2,93.75,20,3.3,3.7,0.111111111,0.074074074,0.121884104,0.111818811,-0.162073676,0.051592435,0.113009751,0.167128898,0.999999985,0.246472395
73,1,1,3,86.75,100,3.8,5.1,0.137931034,0.137931034,0.106466083,0.100972473,-0.089729627,0.048358356,0.090733251,0.144870423,1.000000031,0.214033146
73,1,4,4,8125,10000,2.7,6.4,0.5,0.0625,0.114229411,0.119009223,-0.128000881,0.035492899,0.101203847,0.184205801,1.000000004,
74,1,2,1,263.25,300,7.818181818,2,0.15,0.175,0.153238327,0.147441672,-0.100579664,0.062052182,0.131034081,0.202563191,1.000000035,0.310624445
74,1,4,2,24675,9000,7.7,2,0.228571429,0.057142857,0.109214093,0.107443017,-0.212743208,0.035674745,0.102788213,0.177146417,1.000000004,
74,1,3,4,507.5,400,8.5,0.8,0.238095238,0.166666667,0.10809121,0.100739321,-0.111209643,0.042671351,0.0903692,0.156211943,0.546998243,0.214811011
75,1,1,1,595.75,300,1.4,8.2,0.075471698,0.226415094,0.099150466,0.083833435,-0.091576565,0.051009272,0.085262113,0.13454684,0.999999932,0.200095704
75,1,6,2,10,10,2,8.8,0.208333333,0.166666667,0.13647005,0.110747781,-0.179449731,0.068917168,0.128255488,0.188726541,0.999999956,0.256375117
75,1,2,3,404,409,0.7,9.7,0,0.103448276,0.124517152,0.094033185,-0.117834639,0.062250055,0.10384026,0.173204121,0.600880596,0.251303251
75,1,8,4,55.75,100,1.7,7.6,0.157894737,0.210526316,0.106081342,0.119520878,-0.194561451,0.046595926,0.102261944,0.162231951,0.808645053,0.232171741
80,1,3,3,375000100,460,8.3,2.3,0.211538462,0.038461538,0.111181631,0.102965557,-0.17377626,0.041759741,0.091751617,0.158634515,0.546998243,0.230736423
80,1,8,4,57.75,70,6.8,3.1,0.260869565,0.065217391,0.122093619,0.139777469,-0.170961098,0.042148161,0.10582931,0.169437564,1.000000124,0.297916971
87,1,1,2,64.75,140,7.4,2.4,0.266666667,0.2,0.110943105,0.125462472,-0.057715259,0.045080361,0.086258152,0.142152063,1.000000031,0.209172904
87,1,4,3,4678.75,13000,0.6,9.4,0.047619048,0.047619048,0.107361381,0.100017184,-0.078183427,0.031991767,0.099646204,0.173294723,0.788536819,
87,1,3,4,400,425,3.3,7.7,0.055555556,0.444444444,0.106990523,0.095709525,-0.111925037,0.038741863,0.08946801,0.169485431,0.546998243,0.217451249
88,1,4,1,4725,15000,7.5,1.4,0.206896552,0.24137931,0.101680297,0.103622631,-0.179449731,0.03234901,0.088901649,0.167660317,0.788536819,
88,1,7,4,118.25,200,7.5,2.3,0.272727273,0.272727273,0.118518777,0.136172699,-0.179449731,0.034015451,0.091224655,0.164087137,0.81865854,0.298855479
89,1,5,1,18.25,30,8.1,1.9,0.121212121,0.454545455,0.123472528,0.134028179,-0.179449731,0.045964043,0.112889617,0.169917952,1.000000053,0.249389535
89,1,1,2,74,150,8,1.3,0.2,0.5,0.098276206,0.096502892,-0.070498158,0.039953027,0.084323287,0.137936712,0.771729408,0.200571905
89,1,6,4,133.5,6,8.6,0.8,0.378378378,0.162162162,0.153520861,0.149333354,-0.170611478,0.076841997,0.132524699,0.18677342,1.000000038,0.274676989
90,1,7,1,253.3333333,260,8,1.1,0.066666667,0,0.100563992,0.125288633,-0.179449731,0.021604816,0.075087538,0.141225131,0.81865854,0.239424615
90,1,1,2,43.33333333,70,1.5,7,0.0625,0.1875,0.099458487,0.082915443,-0.053171559,0.049971797,0.086695865,0.130684618,0.534496262,0.192454897
90,1,2,3,1048.75,250,6.9,1.5,0.2,0.1,0.149333256,0.129428093,-0.05404337,0.068714341,0.124212254,0.195363865,0.999999983,0.273504631
90,1,6,4,33.75,15,5.7,2.4,0.176470588,0.235294118,0.137510198,0.112300515,-0.179449731,0.070943994,0.130503681,0.177322037,0.767701083,0.259679709
97,1,1,1,104.75,150,4.5,5,0.111111111,0.148148148,0.104880849,0.112871815,-0.091786393,0.044428472,0.087331753,0.135571403,1.000000031,0.208685806
97,1,6,3,24.5,30,5,6.1,0.121212121,0.272727273,0.140416221,0.123439779,-0.179449731,0.068648668,0.132760879,0.196887354,1.000000038,0.279697793
97,1,5,4,24.25,40,8.5,1.4,0.153846154,0.038461538,0.114548747,0.127358888,-0.162073676,0.042012374,0.106726883,0.168431222,0.999999985,0.231708472
99,1,6,1,80.25,7,7.1,3.6,0.285714286,0.214285714,0.152058891,0.128007188,-0.179449731,0.079169273,0.138430857,0.194033548,1.000000038,0.282124365
99,1,8,2,46,47,5.1,3.8,0.170731707,0.073170732,0.119074353,0.136868152,-0.252767978,0.039711659,0.104664373,0.172721836,1.000000124,0.264401809
99,1,3,3,106250364.3,450,0,10,0,0.153846154,0.118494256,0.10223601,-0.10474514,0.049337889,0.107312859,0.173468591,0.546998243,0.232106232
99,1,1,4,117.75,256,8.6,0.4,0.366666667,0.066666667,0.11411299,0.133639604,-0.115819652,0.044694082,0.08747782,0.151083139,1.000000031,0.247822552
100,1,5,1,14.5,30,9,0.6,0.176470588,0.147058824,0.112216571,0.112549516,-0.179449731,0.042394967,0.106715266,0.168362054,1.000000053,0.23285593
100,1,3,2,588.75,450,8.7,1.5,0.230769231,0.192307692,0.114352905,0.116426678,-0.108481673,0.037765472,0.097663225,0.152450332,0.546998243,0.226215244
100,1,4,3,7225,7500,7.3,2.5,0.185185185,0.185185185,0.115020075,0.114504082,-0.179449731,0.042854356,0.10367638,0.175234487,1.000000004,
100,1,1,4,55.75,64,7.2,1.5,0.387096774,0.096774194,0.111453161,0.109342319,-0.079856833,0.049402094,0.090377207,0.150387149,1.000000031,0.223075114
101,1,4,1,10575,8000,8.3,1.9,0.229166667,0.0625,0.119704257,0.122351952,-0.179449731,0.040140151,0.108348302,0.189174675,1.000000004,
101,1,1,2,120.5,240,8.7,1,0.185185185,0.148148148,0.101606647,0.092147486,-0.108846216,0.040354027,0.088406488,0.142728541,1.000000031,0.214965156
101,1,5,3,28,30,8.3,1,0.178571429,0.357142857,0.120517431,0.136672688,-0.168386068,0.045532417,0.111431031,0.170877757,0.999999985,0.237863461
101,1,2,4,1037.5,700,1.9,6.8,0.107142857,0.142857143,0.135951947,0.119775359,-0.081967543,0.064434262,0.111154956,0.184780145,0.999999983,0.277057309
105,1,3,1,206.25,300,5.8,4.6,0.153846154,0.153846154,0.112663083,0.10483679,-0.079856833,0.040898156,0.09103268,0.164122457,0.546998243,0.223387381
